"full_text" "searched_at"
"1" "This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"2" "Proud 🤲🏼 What a team! 🇲🇦❤️ What an achievement for the African continent &amp; the Muslim world 🤲🏼 Great to see such a fairytale is still possible in modern football - this will give so many people so much power &amp; hope ❤️❤️⚽ #Morocco #WorldCup #Qatar2022" 2022-12-11 12:51:51
"3" "Korean fans have given
Antonio Mateu Lahoz, the referee for #WorldCup Argentina vs Netherlands, a new nickname: \"Twisted Fate\" for the number of yellow cards he gave away

\"How is he keep drawing and landing gold cards after gold cards? Better TF player than ShowMaker.\" https://t.co/R5SVihXmTm" 2022-12-11 12:51:51
"4" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"5" "Players’ mums take centre stage as Morocco make history at World Cup | BBC News | Women are the backbone of everything. #WorldCup  https://t.co/pedOyNLHEr" 2022-12-11 12:51:51
"6" "RT @itsmodsiw: Some talk in dire times... in Cz we just keep doing.

1 day at a time. low key ;)

📦💕🏗️

@CardboardCtzNFT #SolanaNFTs #NFT #…" 2022-12-11 12:51:51
"7" "Whoever thought of regular platform boots should be in heaven. I really love em. 

#AbujaTwitterCommunity platformboots|akara|messi|ronaldo|Qatar|worldcup https://t.co/YUw48XXPNf" 2022-12-11 12:51:51
"8" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"9" "RT @ManUtd: Congratulations to @RaphaelVarane's France who progress into the semi-finals 👏🇫🇷

#MUFC || #WorldCup https://t.co/jfmq1WYmJ6" 2022-12-11 12:51:51
"10" "RT @sexfut1: Gavi 🇪🇸 #Espanha #WorldCup https://t.co/0mklSeo83n" 2022-12-11 12:51:51
"11" "#Argentina 
Done..
one of the best project... 
all task complete  

@Moshiurbnb
@ArifHos98535723
@Shakibbd0
@Imrulkoyes3
@rich20ca

 #BitMart #Qatar2022 #WorldCup #FIFAWorldCup https://t.co/sWzHzGMTcb https://t.co/XuKT0mbm2e" 2022-12-11 12:51:51
"12" "RT @boxcouk: Win a Hisense TV IF England score in the first 12 minutes versus France*.

To enter for a chance to win, all you have to do is…" 2022-12-11 12:51:51
"13" "RT @EnswellJones: Friends, I have finally read your kind messages, and I appreciate them very much. Still trying to write through things he…" 2022-12-11 12:51:51
"14" "RT @5Pillarsuk: ALL seven pro-LGBTQ #OneLove armband European teams are now out of the #WorldCup. #ItsComingHome https://t.co/CszhZRUfDH" 2022-12-11 12:51:51
"15" "RT @AshleyKang: Korean fans have given
Antonio Mateu Lahoz, the referee for #WorldCup Argentina vs Netherlands, a new nickname: \"Twisted Fa…" 2022-12-11 12:51:51
"16" "RT @M10: Proud 🤲🏼 What a team! 🇲🇦❤️ What an achievement for the African continent &amp; the Muslim world 🤲🏼 Great to see such a fairytale is st…" 2022-12-11 12:51:51
"17" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"18" "RT @IconicCristiano: Even after a horrible exit to the Worldcup arrogant Ronaldo stops for autographs and pics with the fans while boarding…" 2022-12-11 12:51:51
"19" "#WorldCup finals matches feat. Scotland over the last 2 decades:

- Nobody. https://t.co/6Vrcgi4Gdf" 2022-12-11 12:51:51
"20" "RT @IconicCristiano: Even after a horrible exit to the Worldcup arrogant Ronaldo stops for autographs and pics with the fans while boarding…" 2022-12-11 12:51:51
"21" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"22" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"23" "RT @IconicCristiano: Even after a horrible exit to the Worldcup arrogant Ronaldo stops for autographs and pics with the fans while boarding…" 2022-12-11 12:51:51
"24" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"25" "RT @5Pillarsuk: ALL seven pro-LGBTQ #OneLove armband European teams are now out of the #WorldCup. #ItsComingHome https://t.co/CszhZRUfDH" 2022-12-11 12:51:51
"26" "RT @5Pillarsuk: ALL seven pro-LGBTQ #OneLove armband European teams are now out of the #WorldCup. #ItsComingHome https://t.co/CszhZRUfDH" 2022-12-11 12:51:51
"27" "RT @MaherZain: I know Morroco has a population of 38 million people, but today it has 1.5 billion Muslims rooting for it. Come on Atlas Lio…" 2022-12-11 12:51:51
"28" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"29" "RT @munyachawawa: The British media releasing they can't blame black players for the penalty  🗞⚽️  #worldcup #england #ENGFRA

Tour tickets…" 2022-12-11 12:51:51
"30" "RT @munyachawawa: The British media releasing they can't blame black players for the penalty  🗞⚽️  #worldcup #england #ENGFRA

Tour tickets…" 2022-12-11 12:51:51
"31" "RT @munyachawawa: The British media releasing they can't blame black players for the penalty  🗞⚽️  #worldcup #england #ENGFRA

Tour tickets…" 2022-12-11 12:51:51
"32" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"33" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"34" "RT @5Pillarsuk: ALL seven pro-LGBTQ #OneLove armband European teams are now out of the #WorldCup. #ItsComingHome https://t.co/CszhZRUfDH" 2022-12-11 12:51:51
"35" "That's the explanation!
#EnglandVsFrance 
#itsnotcominghome 
#Kane 
#WorldCup https://t.co/df5MIA8vbN" 2022-12-11 12:51:51
"36" "RT @KhaledBeydoun: Morocco 🇲🇦 took down 3 colonial European nations in 10 days.  

Belgium 🇧🇪
Spain 🇪🇸 
Portugal 🇵🇹 

If they defeat France…" 2022-12-11 12:51:51
"37" "RT @munyachawawa: The British media releasing they can't blame black players for the penalty  🗞⚽️  #worldcup #england #ENGFRA

Tour tickets…" 2022-12-11 12:51:51
"38" "RT @5Pillarsuk: ALL seven pro-LGBTQ #OneLove armband European teams are now out of the #WorldCup. #ItsComingHome https://t.co/CszhZRUfDH" 2022-12-11 12:51:51
"39" "RT @munyachawawa: The British media releasing they can't blame black players for the penalty  🗞⚽️  #worldcup #england #ENGFRA

Tour tickets…" 2022-12-11 12:51:51
"40" "🚨 Figo's words after @selecaoportugal's elimination! ❌🌍🏆 #BeSoccer #Portugal #WorldCup 

https://t.co/hMaqopCw46 https://t.co/ijcSLNAesg" 2022-12-11 12:51:51
"41" "RT @muhamma03889226: BLASPHEMY
#FIFAWorldCupQatar2022
#Qatar
#WorldCup
#QatarWorldCup2022
#FIFAWorldCup2022
#Qatar2022
#FIFAWorldCup
#World…" 2022-12-11 12:51:51
"42" "Still can’t believe he missed it 💔 #EnglandVsFrance #WorldCup" 2022-12-11 12:51:51
"43" "RT @shakira: This time for Africa!! 👏🇲🇦 #WorldCup" 2022-12-11 12:51:51
"44" "RT @svs_wx: #GOAT now and always 🙌🏼
There’s only one Cristiano and there’ll never be another 1️⃣

#Cristiano #CristianoRonaldo #Ronaldo #Wo…" 2022-12-11 12:51:51
"45" "RT @grintaclub: 🚨Giveaway🚨

Complete the following steps and stand a chance to win a sorare Card !👇

Follow + Retweet + Comment with pseudo…" 2022-12-11 12:51:51
"46" "RT @MaherZain: History in the making!! And #Palestine WILL be free InshaAllah 🇵🇸♥️🤲🏼 #Worldcup #Qatar2022 https://t.co/qwdV9U9OCA" 2022-12-11 12:51:51
